"Sources: Current Population Survey, Bureau of Labor Statistics, and Federal Reserve Bank of Atlanta Calculations. 
Data updates can be found at https://www.frbatlanta/chcs/wage-growth-tracker. 
See the 'definitions' tab in this spreadsheet for explanations of series.  Wage computed on an hourly basis unless otherwise noted.  Reported as 3-month moving averages of monthly series",,,,,,,,,,,,2/13/2023,,,,
date,Unweighted Overall,Services,Full-time,College degree,Prime-age,Female,Male,Job Stayer,Job Switcher,Paid Hourly,Weighted Overall,Weighted 97 Overall,Unweighted Overall: Weekly Basis,25/20 trimmed mean,Lower 1/2 of wage distn,Upper 1/2 of wage distn
8/1/2013,2.3,2.1,2.7,2.7,2.6,2.1,2.6,2,2.9,1.9,2.3,2.4,2.7,2.5,2.4,2.3
9/1/2013,2.4,2.1,2.7,2.6,2.6,2.1,2.6,2.2,2.6,2.2,2.3,2.4,2.5,2.5,2.5,2.3
10/1/2013,2.2,2.1,2.5,2.4,2.4,2,2.5,2.1,2.2,2.1,2.2,2.3,2.3,2.3,2.4,2.1
11/1/2013,2,1.9,2.3,2.2,2.2,1.9,2.3,2,2.1,2.1,2.1,2.3,2.2,2.2,2.1,1.9
12/1/2013,2.2,2.1,2.3,2.2,2.4,2.1,2.5,2,2.4,2.1,2.2,2.5,2.3,2.3,2.3,2
1/1/2014,2.3,2.3,2.5,2.4,2.6,2.1,2.6,2,2.9,2.1,2.4,2.6,2.6,2.5,2.4,2.2
2/1/2014,2.5,2.4,2.6,2.5,2.6,2.2,2.7,2.1,3.1,2.4,2.5,2.6,2.9,2.6,2.7,2.2
3/1/2014,2.4,2.2,2.7,2.6,2.7,2.2,2.7,2.1,3,2.3,2.5,2.6,3,2.6,2.7,2.2
4/1/2014,2.3,2.1,2.7,2.6,2.7,2.2,2.6,2.2,2.6,2.2,2.3,2.5,3,2.5,2.4,2.2
5/1/2014,2.3,2.1,2.6,2.6,2.7,2.3,2.4,2.2,2.5,2.1,2.4,2.6,2.9,2.5,2.1,2.4
6/1/2014,2.3,2.2,2.6,2.5,2.7,2.2,2.5,2.1,2.7,2.1,2.2,2.6,2.6,2.6,2.1,2.5
7/1/2014,2.4,2.4,2.6,2.6,2.7,2.3,2.4,2.1,2.8,2.3,2.2,2.4,2.6,2.6,2.3,2.4
8/1/2014,2.4,2.5,2.7,2.7,2.6,2.2,2.6,2.2,2.5,2.3,2.2,2.3,2.6,2.6,2.4,2.4
9/1/2014,2.6,2.6,2.8,2.8,2.7,2.5,2.8,2.6,2.7,2.6,2.6,2.7,2.8,2.8,2.7,2.7
10/1/2014,2.8,2.7,3,2.9,2.9,2.6,3,2.8,2.9,2.7,3,3.1,3.2,2.9,2.8,2.9
11/1/2014,2.9,2.8,3.1,2.9,3,3,3,2.9,3.2,2.9,3.2,3.3,3.4,3,3.1,2.9
12/1/2014,2.9,2.8,3,2.8,3,2.9,2.9,2.8,2.9,2.7,3.1,3.2,3.4,2.9,3,2.7
1/1/2015,3,3,3,2.9,3.1,3,3,2.8,3.2,2.8,3.2,3.4,3.4,3.1,3.1,2.9
2/1/2015,3,3.1,3.1,3.1,3.3,2.8,3.2,2.9,3.1,2.7,3.3,3.5,3.6,3.2,3,3
3/1/2015,3.2,3.2,3.5,3.5,3.3,3,3.4,3,3.5,2.8,3.4,3.7,3.9,3.4,3.1,3.3
4/1/2015,3.3,3.2,3.6,3.7,3.5,3.1,3.4,3.2,3.5,2.7,3.5,3.7,3.8,3.5,3.2,3.4
5/1/2015,3.3,3.2,3.5,3.5,3.5,3.1,3.4,3,3.7,2.7,3.4,3.6,3.6,3.5,3.2,3.3
6/1/2015,3.2,3.1,3.4,3.2,3.5,3.1,3.3,2.9,3.7,3,3.3,3.5,3.4,3.4,3.4,2.9
7/1/2015,3.1,2.9,3.3,2.9,3.5,2.9,3.4,2.8,3.7,3.2,3.1,3.4,3.6,3.4,3.6,2.5
8/1/2015,3.1,2.8,3.2,2.8,3.4,2.6,3.5,2.9,3.2,3.2,3.1,3.3,3.6,3.3,3.6,2.5
9/1/2015,3,2.8,3.1,3,3.3,2.5,3.5,2.9,3.3,2.9,2.9,3,3.6,3.2,3.3,2.7
10/1/2015,2.9,2.8,3,3,3.1,2.4,3.4,2.5,3.5,2.7,2.7,2.7,3.2,3.1,2.9,2.9
11/1/2015,3.1,3.3,3.3,3.2,3.4,2.9,3.4,2.7,3.9,2.9,3,3.1,3.4,3.3,3.1,3.2
12/1/2015,3.1,3.2,3.3,3.2,3.5,2.8,3.4,2.8,3.5,2.9,3,3.2,3,3.2,3,3.2
1/1/2016,3.1,3.2,3.3,3.1,3.6,2.9,3.4,3,3.4,2.9,3.4,3.7,3.2,3.3,3.1,3.2
2/1/2016,3.2,3.1,3.4,3.2,3.6,2.7,3.6,2.8,3.7,2.8,3.6,3.9,3,3.4,3.3,3.1
3/1/2016,3.2,3.2,3.3,3,3.5,2.7,3.8,2.8,4,3,3.7,3.9,3.5,3.4,3.5,3
4/1/2016,3.4,3.3,3.5,3.3,3.5,3,3.8,3.1,3.9,3,3.7,3.9,3.7,3.7,3.7,3.2
5/1/2016,3.5,3.5,3.5,3.5,3.5,3.2,3.8,3.2,4.2,3,3.7,3.8,3.7,3.8,3.9,3.2
6/1/2016,3.6,3.6,3.6,3.6,3.8,3.5,3.6,3.2,4.4,3,3.9,4.1,3.5,3.8,4.2,3.1
7/1/2016,3.4,3.4,3.6,3.4,3.5,3.4,3.5,2.9,4.4,2.9,3.8,3.9,3,3.7,4.1,2.9
8/1/2016,3.3,3.3,3.6,3.4,3.4,3.4,3.4,3,4,3,3.6,3.7,3.1,3.5,3.9,2.9
9/1/2016,3.6,3.5,3.9,3.6,3.7,3.8,3.4,3.3,4.2,3.3,3.8,4,3.4,3.7,4.2,3.1
10/1/2016,3.9,4,4.2,4,4.3,4.3,3.5,3.6,4.4,3.6,4.1,4.4,3.6,4,4.4,3.5
11/1/2016,3.9,4,4.2,3.8,4.2,4.1,3.6,3.7,4.4,3.5,4.3,4.6,3.4,4,4.3,3.6
12/1/2016,3.5,3.6,3.8,3.5,3.8,3.5,3.5,3.4,3.7,3,3.9,4,3.2,3.7,3.5,3.5
1/1/2017,3.2,3.2,3.4,3.3,3.5,3.1,3.4,3,3.6,2.8,3.6,3.7,3.3,3.4,3.3,3.1
2/1/2017,3.2,3.2,3.3,3.5,3.5,3,3.4,2.8,3.7,2.7,3.5,3.5,3.5,3.4,3.1,3.2
3/1/2017,3.4,3.5,3.6,3.7,3.8,3.2,3.7,2.8,4.3,3,3.8,3.9,3.7,3.6,3.4,3.4
4/1/2017,3.5,3.6,3.8,3.8,3.9,3.5,3.5,2.9,4.3,2.9,3.9,4,3.7,3.6,3.3,3.7
5/1/2017,3.4,3.3,3.7,3.4,3.8,3.4,3.3,2.8,4.2,3.2,3.8,4,3.5,3.5,3.4,3.4
6/1/2017,3.2,3.1,3.6,3.4,3.4,3.5,2.8,2.8,3.9,3,3.5,3.6,3.4,3.4,3.3,3.1
7/1/2017,3.3,3.3,3.5,3.2,3.5,3.6,3,2.8,4,3.1,3.4,3.6,3.6,3.6,3.6,3
8/1/2017,3.4,3.5,3.6,3.4,3.5,3.8,3,2.8,4.3,3.2,3.5,3.7,3.6,3.7,3.7,3.2
9/1/2017,3.6,3.5,3.7,3.4,3.8,3.5,3.7,3,4.3,3.4,3.7,4,3.6,3.7,3.7,3.5
10/1/2017,3.4,3.2,3.5,3.4,3.7,3.1,3.5,2.9,3.9,3.2,3.6,3.9,3.4,3.5,3.4,3.4
11/1/2017,3.2,3,3.6,3.3,3.6,2.8,3.6,2.8,3.7,2.9,3.6,3.8,3.2,3.4,3.5,3
12/1/2017,2.9,2.9,3.2,3.2,3.3,2.7,3.2,2.5,3.5,2.6,3.4,3.6,3.1,3.2,3.2,2.7
1/1/2018,3,2.9,3.3,3.2,3.2,2.7,3.4,2.4,3.9,2.5,3.5,3.7,3.1,3.2,3.2,2.8
2/1/2018,2.9,2.9,3.1,3.1,3,2.8,3.2,2.4,4,2.6,3.3,3.7,3.4,3.1,3.1,2.8
3/1/2018,3.3,3.2,3.4,3.2,3.4,3.2,3.5,2.9,4.2,3,3.9,4.3,3.9,3.5,3.6,3
4/1/2018,3.3,3.2,3.3,3.2,3.4,3.2,3.3,2.9,4,3.1,3.7,4,4,3.4,3.9,2.8
5/1/2018,3.2,3.2,3.3,3,3.4,3.2,3.2,2.8,4,3.1,3.8,4.1,3.9,3.3,3.7,2.7
6/1/2018,3.2,3.2,3.3,3.1,3.4,3,3.3,2.7,4,3.1,3.5,3.7,3.8,3.3,3.7,2.7
7/1/2018,3.3,3.3,3.3,3.2,3.6,3.3,3.2,3,3.7,3.2,3.7,4,3.5,3.3,3.7,2.8
8/1/2018,3.5,3.5,3.6,3.5,3.8,3.7,3.2,3.5,3.4,3.4,3.6,3.9,3.6,3.5,4,3
9/1/2018,3.5,3.4,3.5,3.3,3.8,3.7,3.1,3.7,3.1,3.5,3.6,3.9,3.6,3.4,4,2.8
10/1/2018,3.7,3.5,3.7,3.5,3.8,3.6,3.5,3.8,3.3,3.7,3.8,4,3.9,3.5,3.9,3.1
11/1/2018,3.9,3.6,4.1,4,4.1,3.6,4.2,3.9,3.9,3.5,4,4.1,4.1,3.8,3.8,3.8
12/1/2018,3.8,3.5,4.2,4.1,4.2,3.7,4.1,3.6,4.2,3.3,4,4,4.1,3.8,3.6,4
1/1/2019,3.8,3.5,4.1,4.1,4.2,3.8,3.8,3.4,4.5,3.2,3.9,4,4.1,3.8,3.7,3.8
2/1/2019,3.4,3.2,3.7,3.5,3.7,3.4,3.5,3.1,4.2,3.2,3.7,3.9,3.9,3.5,3.4,3.3
3/1/2019,3.5,3.3,3.6,3.5,3.6,3.3,3.7,3.2,4.1,3.3,3.8,4,4.1,3.5,3.6,3.3
4/1/2019,3.6,3.4,3.7,3.7,3.7,3.2,3.9,3.3,3.9,3.5,3.9,4.2,4,3.7,3.7,3.4
5/1/2019,3.7,3.6,3.8,3.9,4,3.4,4,3.2,4.2,3.6,4.1,4.4,4.1,3.8,4,3.4
6/1/2019,3.9,3.7,3.9,3.6,4.1,3.6,4.1,3.3,4.5,4,4.3,4.7,3.9,3.9,4.4,3.3
7/1/2019,3.9,3.8,3.9,3.5,4,3.5,4.2,3.3,4.5,3.6,4.1,4.4,4,3.8,4.2,3.5
8/1/2019,3.7,3.6,3.8,3.3,3.7,3.6,3.8,3.2,4.4,3.5,3.8,4.1,3.7,3.7,4.3,3.2
9/1/2019,3.6,3.6,3.7,3.5,3.7,3.5,3.7,3.1,4.2,3.3,3.7,4,3.5,3.8,4.3,3.2
10/1/2019,3.5,3.5,3.6,3.4,3.7,3.6,3.5,3.1,4.1,3.5,3.7,4,3.5,3.6,4.1,3.2
11/1/2019,3.7,3.7,3.7,3.7,4,3.7,3.8,3.4,4.4,3.7,4.3,4.6,3.8,3.8,4.3,3.5
12/1/2019,3.7,3.6,3.7,3.7,3.9,3.7,3.7,3.3,4.4,3.5,4.1,4.4,3.9,3.7,3.9,3.5
1/1/2020,3.8,3.7,3.8,3.8,4,3.6,4,3.2,4.7,3.5,4.3,4.6,3.9,3.9,4.3,3.3
2/1/2020,3.7,3.6,3.8,3.6,4,3.6,3.9,3.2,4.5,3.7,3.9,4.2,3.8,3.7,4.2,3.2
3/1/2020,3.5,3.3,3.7,3.5,3.9,3.4,3.6,3,4.3,3.5,3.6,4,3.7,3.5,4,3
4/1/2020,3.3,3.1,3.5,3.2,3.7,3.5,3.2,2.9,4,3.3,3.3,3.8,3.5,3.5,3.7,3
5/1/2020,3.5,3.4,3.7,3.7,3.8,3.6,3.4,3,4.3,3.1,3.6,3.9,3.4,3.7,3.6,3.4
6/1/2020,3.8,3.9,3.9,3.9,3.9,3.8,3.8,3.2,4.5,3.5,3.9,4.2,3.2,4,4,3.6
7/1/2020,3.9,4,4,4.1,4,3.5,4.2,3.5,4.3,3.4,3.9,3.9,3.1,4,3.7,3.9
8/1/2020,3.5,3.6,3.6,3.6,3.9,3.2,3.9,3.3,3.7,3.2,3.4,3.5,2.8,3.8,3.5,3.5
9/1/2020,3.5,3.4,3.5,3.4,3.8,3.1,3.8,3.3,3.7,3.2,3.3,3.4,2.9,3.9,3.4,3.4
10/1/2020,3.5,3.5,3.6,3.5,4,3.2,3.7,3.3,3.8,3.4,3.6,3.8,3,3.8,3.7,3.2
11/1/2020,3.7,3.6,3.7,3.6,4,3.3,3.9,3.3,4.4,3.7,3.9,4.4,3,3.8,4,3.3
12/1/2020,3.4,3.3,3.3,3.3,3.8,3.3,3.5,3,4,3.6,3.7,4.1,2.9,3.5,3.8,3.1
1/1/2021,3.4,3.4,3.3,3,3.6,3.2,3.5,2.9,4.2,3.5,3.6,4.1,3,3.6,3.9,3
2/1/2021,3.4,3.4,3.4,2.9,3.5,3.2,3.5,3,4,3.4,3.6,4.1,3.1,3.7,4,2.8
3/1/2021,3.4,3.4,3.4,2.9,3.6,3.1,3.6,3.1,4,3.3,3.7,4.3,3.1,3.6,3.9,2.8
4/1/2021,3.2,3.3,3.2,2.9,3.6,3.1,3.3,3.1,3.6,3.2,3.4,4,3,3.3,3.5,2.8
5/1/2021,3,3.1,3.1,2.8,3.6,3,3,2.8,3.4,3.1,3.3,3.8,2.9,3,3.3,2.8
6/1/2021,3.2,3.3,3.4,3.2,3.7,3.1,3.4,3.1,3.6,3.5,3.4,3.8,3.2,3.2,3.5,3.1
7/1/2021,3.7,3.6,3.8,3.5,3.7,3.9,3.5,3.2,4.4,3.9,4.2,4.6,3.6,3.7,4.6,3.1
8/1/2021,3.9,4,3.9,3.6,3.6,4.3,3.5,3.3,4.8,4.1,4.4,4.7,4.4,4,5,3.1
9/1/2021,4.2,4.3,4.2,3.8,3.9,4.9,3.4,3.5,5.4,4.3,4.7,5.1,4.5,4.3,5.6,3
10/1/2021,4.1,4.2,4.2,3.8,4.2,4.7,3.5,3.7,5.1,4.2,4.4,4.7,4.8,4.3,5.3,3.2
11/1/2021,4.3,4.3,4.3,4.1,4.5,4.8,3.7,3.8,5.2,4.4,4.6,4.9,4.6,4.5,5.3,3.4
12/1/2021,4.5,4.4,4.7,4.3,4.9,5.1,4,4.1,5.3,4.6,5,5.5,5.1,4.8,5.5,3.5
1/1/2022,5.1,5.1,5.1,4.8,5.5,5.2,5.2,4.7,5.8,5.7,5.8,6.5,5.5,5.3,6.4,4
2/1/2022,5.8,5.9,5.9,5.6,6.1,5.6,6.1,5.4,6.6,6.2,6.5,7.3,6.2,5.8,7,4.7
3/1/2022,6,6,6,5.6,6.2,5.6,6.5,5.3,7.1,6.6,6.6,7.3,6.2,5.9,7.2,4.7
4/1/2022,6,6,6.2,5.5,6.5,5.8,6.2,5.3,7.2,6.5,6.6,7.5,6,6,7.1,4.9
5/1/2022,6.1,6,6.2,5.4,6.8,6.1,6.3,5.4,7.5,6.8,6.6,7.6,6,6.2,7.6,4.7
6/1/2022,6.7,6.6,6.8,5.9,7.2,6.4,7.1,6.1,7.9,7.1,7.1,7.9,6.5,6.8,8.3,5.4
7/1/2022,6.7,6.6,6.6,5.8,6.9,6.4,7.1,5.9,8.5,7.1,7,7.7,6.8,6.8,8.4,5
8/1/2022,6.7,6.6,6.6,6,6.7,6.3,7,5.6,8.4,6.9,6.9,7.1,7,6.6,7.9,5.2
9/1/2022,6.3,6.4,6.2,6,6.4,6.3,6.3,5.3,7.9,6.4,6.7,6.9,6.6,6.1,7.1,5.3
10/1/2022,6.4,6.4,6.5,6.4,6.5,6.1,6.4,5.4,7.6,6.3,6.7,6.8,6.3,6,6.6,5.9
11/1/2022,6.4,6.5,6.6,6.7,6.5,6.5,6.2,5.5,8.1,6.2,6.5,6.5,6.1,6.2,6.6,6.3
12/1/2022,6.1,6.2,6.3,6.2,6.4,6.1,6.1,5.3,7.7,6,6.1,6.3,5.9,6,6.3,5.9
1/1/2023,6.1,6.1,6.3,6.3,6.4,6.3,5.9,5.4,7.3,5.8,5.9,6.2,6.1,6.1,6.3,5.8
